Start Time : Do 9. Jan 18:15:49 CET 2025
Job ID: 458662
Node: cc2g04
Partition: gpu_normal_stud
CPU cores: 8
GPUs: 0
Memory: 65536
Python environment: amlg_env              *  /home/phamanh/anaconda3/envs/amlg_env
current work directory: /home/phamanh/nobackup/scrnaseq-ml

[I 2025-01-09 18:15:53,896] A new study created in memory with name: no-name-fdc5083e-2711-42f8-8264-9400cd985738
[I 2025-01-09 18:15:59,954] Trial 0 finished with value: 0.732927925050257 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 0 with value: 0.732927925050257.
[I 2025-01-09 18:34:17,964] Trial 73 finished with value: 0.7534980569138108 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:34:24,030] Trial 74 finished with value: 0.7322284042314412 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:34:44,816] Trial 75 finished with value: 0.7469916492698221 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:34:55,396] Trial 76 finished with value: 0.74692152340307 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:35:18,901] Trial 77 finished with value: 0.7059900707647098 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:35:31,270] Trial 78 finished with value: 0.6938848286052833 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:35:44,035] Trial 79 finished with value: 0.6901066476139704 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:35:57,427] Trial 80 finished with value: 0.7516795818197528 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:36:08,956] Trial 81 finished with value: 0.7453126426535138 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:36:20,117] Trial 82 finished with value: 0.6943745592656586 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:36:25,343] Trial 83 finished with value: 0.6683455264225209 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 73 with value: 0.7534980569138108.
[I 2025-01-09 18:36:31,333] Trial 84 finished with value: 0.7534991583672153 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:36:51,853] Trial 85 finished with value: 0.7066894936765561 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:36:57,480] Trial 86 finished with value: 0.7357266202440771 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:37:03,911] Trial 87 finished with value: 0.7502802464612138 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:37:09,452] Trial 88 finished with value: 0.7501401660649059 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:37:14,957] Trial 89 finished with value: 0.7499303759064655 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:37:50,275] Trial 90 finished with value: 0.6945147375689358 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:38:18,400] Trial 91 finished with value: 0.7474110337727643 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:38:45,016] Trial 92 finished with value: 0.7082983744261122 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:39:18,647] Trial 93 finished with value: 0.7050103157230515 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:39:25,137] Trial 94 finished with value: 0.7305490794174829 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:39:30,779] Trial 95 finished with value: 0.7484607188672359 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:39:37,253] Trial 96 finished with value: 0.7321584986553702 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:39:54,171] Trial 97 finished with value: 0.7478308833338106 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:40:14,370] Trial 98 finished with value: 0.7476914393328031 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:40:34,767] Trial 99 finished with value: 0.7484609636346591 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:40:40,739] Trial 100 finished with value: 0.6621884508449494 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:40:53,396] Trial 101 finished with value: 0.7453127160837407 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:40:58,981] Trial 102 finished with value: 0.661208989524199 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:41:23,080] Trial 103 finished with value: 0.7488107852359227 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:41:29,131] Trial 104 finished with value: 0.7509798407102563 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
